Alpha_deg,CL_vlm,CD_vlm,CL_corrected
-10.0,0.0521,0.00744,0.0443
-9.0,0.1256,0.00740,0.1180
-8.0,0.1992,0.00823,0.1916
-7.0,0.2728,0.00991,0.2652
-6.0,0.3462,0.01246,0.3387
-5.0,0.4195,0.01586,0.4121
-4.0,0.4925,0.02011,0.4854
-3.0,0.5653,0.02520,0.5585
-2.0,0.6377,0.03113,0.6315
-1.0,0.7096,0.03788,0.7043
0.0,0.7811,0.04543,0.7768
1.0,0.8519,0.05377,0.8491
2.0,0.9222,0.06287,0.9212
3.0,0.9918,0.07271,0.9930
4.0,1.0606,0.08327,1.0644
5.0,1.1286,0.09452,1.1356
6.0,1.1957,0.10642,1.2064
7.0,1.2620,0.11896,1.2768
8.0,1.3272,0.13209,1.3469
